Departement;Service;Telephone;Adresse postale;Communes debloquees par cet appel;Question a poser;Fiche annuaire
51;Service départemental des impôts fonciers (SDIF) Marne - Châlons-en-Champagne;03 26 68 60 36;5 rue de la Charriere, 51036 Chalons-en-Champagne Cedex;626;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/grand-est/marne/6e63b764-06dd-4c28-bd64-df5301244688
39;Service départemental des impôts fonciers (SDIF) Jura - Champagnole;03 84 52 01 31;3 rue Victor-Berard, 39300 Champagnole;521;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/bourgogne-franche-comte/jura/eca4eefa-c96b-4602-9d17-e54ac7b1ddcc
77;Service départemental des Impôts Fonciers (SDIF) Seine-et-Marne - Meaux;01 64 35 21 23;Centre des finances publiques, Service des impots des particuliers, 21 place de l'Europe, 77337 Meaux Cedex;519;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/ile-de-france/seine-et-marne/258ef3af-e8c6-404d-835b-1457e2129587
30;Service départemental des impôts fonciers (SDIF) Gard - Nîmes;04 66 87 60 60;67 rue Salomon-Reinach, 30032 Nimes Cedex 1;351;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/occitanie/gard/1d903167-8c49-4808-b316-785a78afcb7a
03;Service départemental des impôts fonciers (SDIF) Allier - Cusset;04 70 30 85 76;8 rue du Bief, BP 60092, 03307 Cusset Cedex;320;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/allier/e0963bbf-63bc-479b-bac4-18f669241fca
78;Service départemental des impôts fonciers (SDIF) Yvelines - Rambouillet;01 34 94 16 00;Centre des finances publiques, 2 rue Louis Pasteur, 78514 Rambouillet Cedex;261;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/ile-de-france/yvelines/a03b60f7-4f7d-454f-be9b-3c3f5005265a
2B;Service départemental des impôts fonciers (SDIF) Haute-Corse - Bastia;04 95 32  93 93;Centre des finances publiques, 67 rue des Horizons-Bleus, 20402 Bastia Cedes 9;236;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/corse/haute-corse/0f6758c0-e49c-4eed-817e-6dc45a0da8d4
66;Service départemental des impôts fonciers (SDIF) Pyrénées-Orientales - Perpignan;04 68 66 41 41;Centre des finances publiques, 24 avenue de la Cote Vermeille, TSA 10009, 66961 Perpignan Cedex 9;226;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/occitanie/pyrenees-orientales/124ca25e-4840-406d-b4e4-74bda9942316
92;Service départemental des impôts fonciers (SDIF) Hauts-de-Seine - Nanterre;01 41 37 83 00;7 boulevard des Bouvets, CS 80309, 92741 Nanterre Cedex;36;Adresse de courriel pour les demandes d'extrait de matrice cadastrale;https://lannuaire.service-public.gouv.fr/ile-de-france/hauts-de-seine/006e20e8-eabb-4f38-b4c0-70f6c9b81626
13;Centre des impôts fonciers (CDIF) Bouche-du-Rhône - Marseille;04 88 49 27 90;22 rue borde, 13357 Marseille Cedex 20;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/provence-alpes-cote-d-azur/bouches-du-rhone/40482595-2d61-4b7c-b574-049c4a6acb7f
31;Service départemental des impôts fonciers (SDIF) Haute-Garonne - Muret;05 62 23 12 00;159 avenue Jacques-Douzans, 31608 Muret Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/385da18a-906d-4207-850a-d3079df1549a
31;Service départemental des impôts fonciers (SDIF) Haute-Garonne - Toulouse;05 34 31 11 11;Centre des finances publiques, 33 rue Jeanne Marvig, BP 64251, 31404 Toulouse Cedex 4;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/a69ebf56-1cea-43cb-a0a3-38382b64fa16
39;Service départemental des impôts fonciers (SDIF) Doubs - Montbéliard;03 81 65 65 50;Centre des finances publiques, 1 rue Pierre-Brossolette, 25214 Montbeliard Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/bourgogne-franche-comte/doubs/d549e16d-c65b-4338-b8c3-07a8976fae88
40;Service départemental des impôts fonciers (SDIF) Landes - Mont-de-Marsan;05 58 06 61 84;Centre des Finances publiques - SDIF, 12 avenue de Dagas, 40022 Mont-de-Marsan Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/landes/d8ebf123-dd82-441a-878f-0f4c5aed3bdf
44;Service départemental des impôts fonciers (SDIF) Loire-Atlantique;02 51 12 86 36;Centre des finances publiques, 2 rue du general Margueritte, CS 13513, 44035 Nantes Cedex 1;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/pays-de-la-loire/loire-atlantique/c9886c9a-ed9a-413f-9036-04190d7f2c13
62;Service départemental des impôts fonciers (SDIF) Pas-de-Calais - Arras;03 21 24 68 68;10 rue Diderot, CS 80020, 62034 Arras Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/hauts-de-france/pas-de-calais/3e144566-d070-461f-8e94-c67c95477314
62;Service départemental des impôts fonciers (SDIF) Pas-de-Calais - Lens;03 21 08 10 10;Centre des finances publiques, 7 rue Louis Armand, CS 80017, 62307 Lens Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/hauts-de-france/pas-de-calais/c1db920d-eba4-4dd3-b9be-20efe3e414ac
62;Service départemental des impôts fonciers (SDIF) Pas-de-Calais - Saint-Omer;03 21 98 76 76;Centre des finances publiques, 1 allee Honore-de-Balzac, BP 30009, 62967 Longuenesse Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/hauts-de-france/pas-de-calais/4b26fe85-2513-43fe-9586-8ec55e874f2f
64;Service départemental des impôts fonciers (SDIF) Pyrénées-Atlantiques - Bayonne;05 59 58 58 36;Centre des finances publiques, 11 rue Vauban, BP 11, 64109 Bayonne Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/pyrenees-atlantiques/eb0b2e62-d085-422a-8974-0999baa9b476
74;Service départemental des impôts fonciers (SDIF) Haute-Savoie - Bonneville;04 50 97 19 01;Centre des finances publiques, 45 rue Pierre-de-Coubertin, BP 131, 74136 Bonneville Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/auvergne-rhone-alpes/haute-savoie/cdb6415e-db0a-4c1f-8b0b-00b861432b11
81;Service départemental des impôts fonciers (SDIF) Tarn - Castres;05 63 62 52 00;Service des impots foncier du Tarn a Castres, 4 avenue Charles-de-Gaulle, BP 90405, 81108 Castres Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/occitanie/tarn/9cfc4bf2-b504-42a8-8721-07cb976692ba
84;Service départemental des impôts fonciers (SDIF) Vaucluse - Orange;;132 allee d'Auvergne, Centre des Finances Publiques, BP 50200, 84873 Orange Cedex;0;Adresse de courriel ET quelles communes relevent de votre guichet;https://lannuaire.service-public.gouv.fr/provence-alpes-cote-d-azur/vaucluse/1c0485af-929f-48b1-9df4-d72a8b6f23bd
